Jobclass,Job,age,Education-level,marital-status,race,gender,hours-per-week,native-country,income
Private,Machine-op-inspct,25,11th,Never-married,Black,Male,40,United-States,<=50K
Private,Farming-fishing,38,HS-grad,Married-A-spouse,White,Male,50,United-States,<=50K
Local-gov,Protective-serv,28,Assoc-acdm,Married-A-spouse,White,Male,40,United-States,>50K
Private,Machine-op-inspct,44,Some-college,Married-A-spouse,Black,Male,40,United-States,>50K
?,?,18,Some-college,Never-married,White,Female,30,United-States,<=50K
Private,Other-service,34,10th,Never-married,White,Male,30,United-States,<=50K
?,?,29,HS-grad,Never-married,Black,Male,40,United-States,<=50K
Self-emp-not-inc,Prof-specialty,63,Prof-school,Married-A-spouse,White,Male,32,United-States,>50K
Private,Other-service,24,Some-college,Never-married,White,Female,40,United-States,<=50K
Private,Craft-repair,55,7th-8th,Married-A-spouse,White,Male,10,United-States,<=50K
Private,Machine-op-inspct,65,HS-grad,Married-A-spouse,White,Male,40,United-States,>50K
Federal-gov,Adm-clerical,36,Bachelors,Married-A-spouse,White,Male,40,United-States,<=50K
Private,Adm-clerical,26,HS-grad,Never-married,White,Female,39,United-States,<=50K
?,?,58,HS-grad,Married-A-spouse,White,Male,35,United-States,<=50K
Private,Machine-op-inspct,48,HS-grad,Married-A-spouse,White,Male,48,United-States,>50K
Private,Exec-managerial,43,Masters,Married-A-spouse,White,Male,50,United-States,>50K
State-gov,Other-service,20,Some-college,Never-married,White,Male,25,United-States,<=50K
Private,Adm-clerical,43,HS-grad,Married-A-spouse,White,Female,30,United-States,<=50K
Private,Machine-op-inspct,37,HS-grad,Widowed,White,Female,20,United-States,<=50K
Private,Prof-specialty,40,Doctorate,Married-A-spouse,Asian-Pac-Islander,Male,45,?,>50K
Private,Tech-support,34,Bachelors,Married-A-spouse,White,Male,47,United-States,>50K
Private,Other-service,34,Some-college,Never-married,Black,Female,35,United-States,<=50K
?,?,72,7th-8th,Divorced,White,Female,6,United-States,<=50K
Private,Prof-specialty,25,Bachelors,Never-married,White,Male,43,Peru,<=50K
Private,Prof-specialty,25,Bachelors,Married-A-spouse,White,Male,40,United-States,<=50K
Self-emp-not-inc,Craft-repair,45,HS-grad,Married-A-spouse,White,Male,90,United-States,>50K
Private,Adm-clerical,22,HS-grad,Never-married,White,Male,20,United-States,<=50K
Private,Machine-op-inspct,23,HS-grad,Separated,Black,Male,54,United-States,<=50K
Private,Craft-repair,54,HS-grad,Married-A-spouse,White,Male,35,United-States,<=50K
Self-emp-not-inc,Prof-specialty,32,Some-college,Never-married,White,Male,60,United-States,<=50K
State-gov,Exec-managerial,46,Some-college,Married-A-spouse,Black,Male,38,United-States,>50K
Self-emp-not-inc,Other-service,56,11th,Widowed,White,Female,50,United-States,<=50K
Self-emp-not-inc,Sales,24,Bachelors,Never-married,White,Male,50,United-States,<=50K
Local-gov,Protective-serv,23,Some-college,Married-A-spouse,White,Male,40,United-States,<=50K
Private,Exec-managerial,26,HS-grad,Divorced,White,Female,40,United-States,<=50K
?,?,65,HS-grad,Married-A-spouse,White,Male,40,United-States,<=50K
Local-gov,Prof-specialty,36,Bachelors,Married-A-spouse,White,Male,40,United-States,>50K
Private,Priv-house-serv,22,5th-6th,Never-married,White,Male,50,Guatemala,<=50K
Private,Machine-op-inspct,17,10th,Never-married,White,Male,40,United-States,<=50K
Private,Craft-repair,20,HS-grad,Never-married,White,Male,40,United-States,<=50K
Private,Prof-specialty,65,Masters,Married-A-spouse,White,Male,50,United-States,>50K
Self-emp-inc,Sales,44,Assoc-voc,Married-A-spouse,White,Male,45,United-States,>50K
Private,Farming-fishing,36,HS-grad,Married-A-spouse,White,Male,40,United-States,<=50K
Private,Other-service,29,11th,Married-A-spouse,White,Male,40,United-States,<=50K
State-gov,Farming-fishing,20,Some-college,Never-married,White,Male,32,United-States,<=50K
Private,Prof-specialty,28,Assoc-voc,Married-A-spouse,White,Female,36,United-States,>50K
Private,Craft-repair,39,7th-8th,Married-A-spouse,White,Male,40,Mexico,<=50K
Private,Transport-moving,54,Some-college,Married-A-spouse,White,Male,50,United-States,<=50K
Private,Priv-house-serv,52,11th,Separated,Black,Female,18,United-States,<=50K
Self-emp-inc,Exec-managerial,56,HS-grad,Widowed,White,Female,50,United-States,<=50K
Private,Other-service,18,Some-college,Never-married,White,Male,20,United-States,<=50K
Private,Handlers-cleaners,39,HS-grad,Divorced,Black,Male,40,United-States,<=50K
Private,Other-service,21,Some-college,Never-married,White,Female,24,United-States,<=50K
Private,Other-service,22,HS-grad,Never-married,White,Male,60,United-States,>50K
Private,Exec-managerial,38,9th,Married-C-spouse,White,Male,54,Mexico,<=50K
Private,Adm-clerical,21,Some-college,Never-married,White,Female,40,United-States,<=50K
Private,Craft-repair,63,HS-grad,Married-A-spouse,White,Male,40,United-States,<=50K
Local-gov,Exec-managerial,34,Bachelors,Married-A-spouse,White,Male,50,United-States,>50K
Self-emp-inc,Exec-managerial,42,HS-grad,Married-A-spouse,White,Male,50,United-States,>50K
Private,Handlers-cleaners,33,HS-grad,Married-A-spouse,White,Male,40,United-States,<=50K
Private,Exec-managerial,30,Bachelors,Never-married,White,Female,50,United-States,<=50K
Private,Sales,39,Some-college,Divorced,White,Male,40,United-States,<=50K
Private,Exec-managerial,26,Masters,Never-married,White,Female,40,United-States,<=50K
Private,Machine-op-inspct,33,HS-grad,Never-married,White,Female,40,United-States,<=50K
Local-gov,Adm-clerical,47,HS-grad,Divorced,White,Female,40,United-States,<=50K
Private,Other-service,41,Bachelors,Never-married,White,Female,40,?,<=50K
Self-emp-inc,Craft-repair,41,Assoc-acdm,Married-A-spouse,White,Male,60,United-States,>50K
Private,Other-service,19,Some-college,Never-married,White,Male,20,United-States,<=50K
Private,Transport-moving,46,HS-grad,Separated,White,Male,40,United-States,<=50K
Private,Sales,43,HS-grad,Married-A-spouse,White,Male,48,United-States,<=50K
Private,Exec-managerial,55,Some-college,Married-A-spouse,White,Male,45,United-States,>50K
