survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone
0,1,male,45.0,1,0,83.475,S,First,man,True,C,Southampton,no,False
1,2,male,3.0,1,1,26.0,S,Second,child,False,F,Southampton,yes,False
1,1,female,51.0,1,0,77.9583,S,First,woman,False,D,Southampton,yes,False
1,2,female,50.0,0,1,26.0,S,Second,woman,False,,Southampton,yes,False
0,2,male,54.0,0,0,26.0,S,Second,man,True,,Southampton,no,True
1,3,male,24.0,0,0,7.1417,S,Third,man,True,,Southampton,yes,True
1,2,female,30.0,0,0,13.0,S,Second,woman,False,,Southampton,yes,True
1,2,female,28.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False
0,3,male,,0,0,24.15,Q,Third,man,True,,Queenstown,no,True
0,3,male,27.0,1,0,14.4542,C,Third,man,True,,Cherbourg,no,False
